m, 	 n, 	 a, 		 B, 		 Tb, 		 Mb, 		 COx, 		 POx, 		 TOx, 		 MOx, 		 Tt, 		 Mt
9, 	 384,	 0.50163,	 9.123, 	 135.307, 	 97.573, 	 10.644, 	 1.012, 	 11.655, 	 0.007, 	 146.962, 	 97.579
9, 	 384,	 0.50109,	 9.123, 	 135.398, 	 97.573, 	 10.246, 	 0.992, 	 11.238, 	 0.008, 	 146.636, 	 97.580
9, 	 384,	 0.50055,	 9.123, 	 135.490, 	 97.573, 	 9.849, 	 1.027, 	 10.875, 	 0.009, 	 146.366, 	 97.582
9, 	 384,	 0.50000,	 9.123, 	 135.584, 	 97.573, 	 9.450, 	 1.087, 	 10.538, 	 0.010, 	 146.121, 	 97.583
9, 	 384,	 0.49945,	 9.123, 	 135.678, 	 97.573, 	 9.051, 	 1.086, 	 10.137, 	 0.012, 	 145.815, 	 97.584
9, 	 384,	 0.49891,	 9.123, 	 135.773, 	 97.573, 	 8.653, 	 1.115, 	 9.767, 	 0.013, 	 145.541, 	 97.586
9, 	 384,	 0.49836,	 9.123, 	 135.869, 	 97.573, 	 8.254, 	 1.095, 	 9.349, 	 0.015, 	 145.218, 	 97.588
9, 	 384,	 0.49781,	 9.123, 	 135.965, 	 97.573, 	 7.855, 	 1.121, 	 8.976, 	 0.018, 	 144.941, 	 97.590
9, 	 384,	 0.49727,	 9.123, 	 136.062, 	 97.573, 	 7.456, 	 1.163, 	 8.620, 	 0.020, 	 144.682, 	 97.593
9, 	 384,	 0.49672,	 9.123, 	 136.159, 	 97.573, 	 7.058, 	 1.179, 	 8.237, 	 0.023, 	 144.396, 	 97.596
9, 	 384,	 0.49617,	 9.123, 	 136.257, 	 97.573, 	 6.661, 	 1.192, 	 7.854, 	 0.027, 	 144.110, 	 97.599
9, 	 384,	 0.49562,	 9.123, 	 136.355, 	 97.573, 	 6.265, 	 1.188, 	 7.453, 	 0.031, 	 143.808, 	 97.603
9, 	 384,	 0.49507,	 9.123, 	 136.453, 	 97.573, 	 5.871, 	 1.203, 	 7.074, 	 0.035, 	 143.527, 	 97.608
9, 	 384,	 0.49452,	 9.123, 	 136.552, 	 97.573, 	 5.478, 	 1.266, 	 6.744, 	 0.040, 	 143.296, 	 97.613
9, 	 384,	 0.49397,	 9.123, 	 136.650, 	 97.573, 	 5.088, 	 1.285, 	 6.373, 	 0.046, 	 143.023, 	 97.619
