m, 	 n, 	 a, 		 B, 		 Tb, 		 Mb, 		 COx, 		 POx, 		 TOx, 		 MOx, 		 Tt, 		 Mt
8, 	 384,	 0.50163,	 10.264, 	 135.307, 	 97.573, 	 11.614, 	 0.778, 	 12.392, 	 0.007, 	 147.699, 	 97.579
8, 	 384,	 0.50109,	 10.264, 	 135.398, 	 97.573, 	 11.216, 	 0.805, 	 12.022, 	 0.008, 	 147.420, 	 97.580
8, 	 384,	 0.50055,	 10.264, 	 135.490, 	 97.573, 	 10.818, 	 0.798, 	 11.616, 	 0.009, 	 147.107, 	 97.582
8, 	 384,	 0.50000,	 10.264, 	 135.584, 	 97.573, 	 10.420, 	 0.836, 	 11.255, 	 0.010, 	 146.839, 	 97.583
8, 	 384,	 0.49945,	 10.264, 	 135.678, 	 97.573, 	 10.021, 	 0.824, 	 10.845, 	 0.012, 	 146.523, 	 97.584
8, 	 384,	 0.49891,	 10.264, 	 135.773, 	 97.573, 	 9.621, 	 0.852, 	 10.473, 	 0.013, 	 146.246, 	 97.586
8, 	 384,	 0.49836,	 10.264, 	 135.869, 	 97.573, 	 9.222, 	 0.874, 	 10.096, 	 0.015, 	 145.965, 	 97.588
8, 	 384,	 0.49781,	 10.264, 	 135.965, 	 97.573, 	 8.822, 	 0.888, 	 9.710, 	 0.018, 	 145.675, 	 97.590
8, 	 384,	 0.49727,	 10.264, 	 136.062, 	 97.573, 	 8.423, 	 0.912, 	 9.334, 	 0.020, 	 145.396, 	 97.593
8, 	 384,	 0.49672,	 10.264, 	 136.159, 	 97.573, 	 8.024, 	 0.948, 	 8.972, 	 0.023, 	 145.131, 	 97.596
8, 	 384,	 0.49617,	 10.264, 	 136.257, 	 97.573, 	 7.625, 	 0.936, 	 8.560, 	 0.027, 	 144.817, 	 97.599
8, 	 384,	 0.49562,	 10.264, 	 136.355, 	 97.573, 	 7.227, 	 0.974, 	 8.201, 	 0.031, 	 144.555, 	 97.603
8, 	 384,	 0.49507,	 10.264, 	 136.453, 	 97.573, 	 6.829, 	 0.939, 	 7.768, 	 0.035, 	 144.221, 	 97.608
8, 	 384,	 0.49452,	 10.264, 	 136.552, 	 97.573, 	 6.433, 	 0.976, 	 7.408, 	 0.040, 	 143.960, 	 97.613
8, 	 384,	 0.49397,	 10.264, 	 136.650, 	 97.573, 	 6.038, 	 0.999, 	 7.036, 	 0.046, 	 143.687, 	 97.619
8, 	 384,	 0.49341,	 10.264, 	 136.749, 	 97.573, 	 5.645, 	 0.976, 	 6.621, 	 0.053, 	 143.370, 	 97.626
8, 	 384,	 0.49286,	 10.264, 	 136.848, 	 97.573, 	 5.254, 	 1.019, 	 6.272, 	 0.061, 	 143.121, 	 97.634
8, 	 384,	 0.49231,	 10.264, 	 136.948, 	 97.573, 	 4.866, 	 1.036, 	 5.902, 	 0.070, 	 142.850, 	 97.642
8, 	 384,	 0.49176,	 10.264, 	 137.047, 	 97.573, 	 4.482, 	 1.059, 	 5.541, 	 0.080, 	 142.588, 	 97.652
8, 	 384,	 0.49120,	 10.264, 	 137.147, 	 97.573, 	 4.103, 	 1.090, 	 5.194, 	 0.091, 	 142.341, 	 97.664
8, 	 384,	 0.49065,	 10.264, 	 137.247, 	 97.573, 	 3.731, 	 1.121, 	 4.852, 	 0.104, 	 142.098, 	 97.677
8, 	 384,	 0.49009,	 10.264, 	 137.346, 	 97.573, 	 3.366, 	 1.099, 	 4.466, 	 0.119, 	 141.812, 	 97.692
8, 	 384,	 0.48954,	 10.264, 	 137.446, 	 97.573, 	 3.012, 	 1.119, 	 4.131, 	 0.136, 	 141.577, 	 97.709
8, 	 384,	 0.48898,	 10.264, 	 137.546, 	 97.573, 	 2.669, 	 1.153, 	 3.822, 	 0.155, 	 141.368, 	 97.728
8, 	 384,	 0.48842,	 10.264, 	 137.646, 	 97.573, 	 2.342, 	 1.172, 	 3.513, 	 0.176, 	 141.160, 	 97.749
8, 	 384,	 0.48787,	 10.264, 	 137.746, 	 97.573, 	 2.032, 	 1.193, 	 3.225, 	 0.201, 	 140.971, 	 97.774
8, 	 384,	 0.48731,	 10.264, 	 137.846, 	 97.573, 	 1.742, 	 1.169, 	 2.911, 	 0.228, 	 140.757, 	 97.801
8, 	 384,	 0.48675,	 10.264, 	 137.947, 	 97.573, 	 1.476, 	 1.228, 	 2.704, 	 0.259, 	 140.650, 	 97.832
8, 	 384,	 0.48619,	 10.264, 	 138.047, 	 97.573, 	 1.234, 	 1.240, 	 2.475, 	 0.293, 	 140.522, 	 97.866
8, 	 384,	 0.48563,	 10.264, 	 138.147, 	 97.573, 	 1.020, 	 1.245, 	 2.265, 	 0.332, 	 140.412, 	 97.905
8, 	 384,	 0.48507,	 10.264, 	 138.247, 	 97.573, 	 0.833, 	 1.283, 	 2.116, 	 0.375, 	 140.363, 	 97.948
8, 	 384,	 0.48451,	 10.264, 	 138.348, 	 97.573, 	 0.672, 	 1.325, 	 1.997, 	 0.423, 	 140.345, 	 97.996
8, 	 384,	 0.48395,	 10.264, 	 138.448, 	 97.573, 	 0.537, 	 1.341, 	 1.879, 	 0.476, 	 140.327, 	 98.048
8, 	 384,	 0.48339,	 10.264, 	 138.548, 	 97.573, 	 0.426, 	 1.333, 	 1.759, 	 0.534, 	 140.307, 	 98.107
8, 	 384,	 0.48283,	 10.264, 	 138.649, 	 97.573, 	 0.335, 	 1.395, 	 1.730, 	 0.598, 	 140.378, 	 98.171
8, 	 384,	 0.48227,	 10.264, 	 138.749, 	 97.573, 	 0.261, 	 1.379, 	 1.641, 	 0.668, 	 140.390, 	 98.241

8, 	 384,	 0.50326,	 10.389, 	 135.041, 	 97.573, 	 11.925, 	 0.773, 	 12.697, 	 0.009, 	 147.739, 	 97.581
8, 	 384,	 0.50272,	 10.389, 	 135.128, 	 97.573, 	 11.531, 	 0.800, 	 12.331, 	 0.010, 	 147.459, 	 97.583
8, 	 384,	 0.50218,	 10.389, 	 135.217, 	 97.573, 	 11.135, 	 0.796, 	 11.932, 	 0.011, 	 147.149, 	 97.584
8, 	 384,	 0.50163,	 10.389, 	 135.307, 	 97.573, 	 10.739, 	 0.831, 	 11.570, 	 0.013, 	 146.877, 	 97.586
8, 	 384,	 0.50109,	 10.389, 	 135.398, 	 97.573, 	 10.342, 	 0.837, 	 11.178, 	 0.015, 	 146.576, 	 97.588
8, 	 384,	 0.50055,	 10.389, 	 135.490, 	 97.573, 	 9.944, 	 0.841, 	 10.785, 	 0.017, 	 146.275, 	 97.590
8, 	 384,	 0.50000,	 10.389, 	 135.584, 	 97.573, 	 9.545, 	 0.882, 	 10.427, 	 0.020, 	 146.011, 	 97.593
8, 	 384,	 0.49945,	 10.389, 	 135.678, 	 97.573, 	 9.147, 	 0.890, 	 10.037, 	 0.023, 	 145.715, 	 97.596
8, 	 384,	 0.49891,	 10.389, 	 135.773, 	 97.573, 	 8.748, 	 0.913, 	 9.661, 	 0.026, 	 145.434, 	 97.599
8, 	 384,	 0.49836,	 10.389, 	 135.869, 	 97.573, 	 8.349, 	 0.952, 	 9.301, 	 0.030, 	 145.170, 	 97.603
8, 	 384,	 0.49781,	 10.389, 	 135.965, 	 97.573, 	 7.950, 	 0.930, 	 8.880, 	 0.035, 	 144.845, 	 97.608
8, 	 384,	 0.49727,	 10.389, 	 136.062, 	 97.573, 	 7.551, 	 0.958, 	 8.509, 	 0.040, 	 144.571, 	 97.613
8, 	 384,	 0.49672,	 10.389, 	 136.159, 	 97.573, 	 7.153, 	 0.973, 	 8.126, 	 0.046, 	 144.285, 	 97.619
8, 	 384,	 0.49617,	 10.389, 	 136.257, 	 97.573, 	 6.756, 	 0.986, 	 7.742, 	 0.053, 	 143.999, 	 97.626
8, 	 384,	 0.49562,	 10.389, 	 136.355, 	 97.573, 	 6.360, 	 1.029, 	 7.389, 	 0.061, 	 143.744, 	 97.633
8, 	 384,	 0.49507,	 10.389, 	 136.453, 	 97.573, 	 5.965, 	 1.043, 	 7.008, 	 0.069, 	 143.461, 	 97.642
8, 	 384,	 0.49452,	 10.389, 	 136.552, 	 97.573, 	 5.572, 	 1.018, 	 6.590, 	 0.080, 	 143.142, 	 97.652
8, 	 384,	 0.49397,	 10.389, 	 136.650, 	 97.573, 	 5.181, 	 1.062, 	 6.243, 	 0.091, 	 142.893, 	 97.664
8, 	 384,	 0.49341,	 10.389, 	 136.749, 	 97.573, 	 4.793, 	 1.085, 	 5.878, 	 0.104, 	 142.628, 	 97.677
8, 	 384,	 0.49286,	 10.389, 	 136.848, 	 97.573, 	 4.410, 	 1.090, 	 5.500, 	 0.119, 	 142.349, 	 97.692
8, 	 384,	 0.49231,	 10.389, 	 136.948, 	 97.573, 	 4.032, 	 1.120, 	 5.152, 	 0.136, 	 142.100, 	 97.709
8, 	 384,	 0.49176,	 10.389, 	 137.047, 	 97.573, 	 3.660, 	 1.152, 	 4.812, 	 0.155, 	 141.859, 	 97.728
8, 	 384,	 0.49120,	 10.389, 	 137.147, 	 97.573, 	 3.297, 	 1.146, 	 4.443, 	 0.177, 	 141.590, 	 97.750
8, 	 384,	 0.49065,	 10.389, 	 137.247, 	 97.573, 	 2.944, 	 1.140, 	 4.084, 	 0.201, 	 141.330, 	 97.774
8, 	 384,	 0.49009,	 10.389, 	 137.346, 	 97.573, 	 2.604, 	 1.177, 	 3.781, 	 0.229, 	 141.127, 	 97.802
8, 	 384,	 0.48954,	 10.389, 	 137.446, 	 97.573, 	 2.279, 	 1.189, 	 3.468, 	 0.260, 	 140.914, 	 97.833
8, 	 384,	 0.48898,	 10.389, 	 137.546, 	 97.573, 	 1.972, 	 1.231, 	 3.203, 	 0.295, 	 140.749, 	 97.868
8, 	 384,	 0.48842,	 10.389, 	 137.646, 	 97.573, 	 1.686, 	 1.236, 	 2.922, 	 0.334, 	 140.568, 	 97.906
8, 	 384,	 0.48787,	 10.389, 	 137.746, 	 97.573, 	 1.424, 	 1.236, 	 2.661, 	 0.377, 	 140.407, 	 97.950
8, 	 384,	 0.48731,	 10.389, 	 137.846, 	 97.573, 	 1.188, 	 1.286, 	 2.474, 	 0.425, 	 140.321, 	 97.998
8, 	 384,	 0.48675,	 10.389, 	 137.947, 	 97.573, 	 0.979, 	 1.282, 	 2.261, 	 0.478, 	 140.208, 	 98.051
8, 	 384,	 0.48619,	 10.389, 	 138.047, 	 97.573, 	 0.797, 	 1.316, 	 2.113, 	 0.537, 	 140.160, 	 98.110
8, 	 384,	 0.48563,	 10.389, 	 138.147, 	 97.573, 	 0.642, 	 1.328, 	 1.970, 	 0.602, 	 140.117, 	 98.175
8, 	 384,	 0.48507,	 10.389, 	 138.247, 	 97.573, 	 0.512, 	 1.343, 	 1.855, 	 0.672, 	 140.102, 	 98.245
8, 	 384,	 0.48451,	 10.389, 	 138.348, 	 97.573, 	 0.405, 	 1.413, 	 1.818, 	 0.749, 	 140.166, 	 98.322
8, 	 384,	 0.48395,	 10.389, 	 138.448, 	 97.573, 	 0.317, 	 1.379, 	 1.696, 	 0.833, 	 140.144, 	 98.406

8, 	 384,	 0.48898,	 10.514, 	 137.546, 	 97.573, 	 1.375, 	 1.283, 	 2.658, 	 0.539, 	 140.205, 	 98.112
8, 	 384,	 0.48842,	 10.514, 	 137.646, 	 97.573, 	 1.144, 	 1.289, 	 2.433, 	 0.604, 	 140.079, 	 98.177
8, 	 384,	 0.48787,	 10.514, 	 137.746, 	 97.573, 	 0.940, 	 1.347, 	 2.287, 	 0.676, 	 140.033, 	 98.248
8, 	 384,	 0.48731,	 10.514, 	 137.846, 	 97.573, 	 0.763, 	 1.355, 	 2.118, 	 0.753, 	 139.964, 	 98.326
8, 	 384,	 0.48675,	 10.514, 	 137.947, 	 97.573, 	 0.613, 	 1.421, 	 2.034, 	 0.837, 	 139.980, 	 98.410
8, 	 384,	 0.48619,	 10.514, 	 138.047, 	 97.573, 	 0.488, 	 1.436, 	 1.924, 	 0.928, 	 139.971, 	 98.501

8, 	 384,	 0.49009,	 10.639, 	 137.346, 	 97.573, 	 1.327, 	 1.298, 	 2.625, 	 0.755, 	 139.971, 	 98.328
