m, 	 n, 	 a, 		 B, 		 Tb, 		 Mb, 		 COx, 		 POx, 		 TOx, 		 MOx
6, 	 384,	 0.51285,	 15.164, 	 134.108, 	 97.571, 	 15.146, 	 0.482, 	 15.628, 	0.153
6, 	 384,	 0.51285,	 15.497, 	 134.108, 	 97.571, 	 13.479, 	 0.570, 	 14.050, 	0.534
6, 	 384,	 0.51285,	 15.830, 	 134.108, 	 97.571, 	 11.813, 	 0.661, 	 12.473, 	1.481
6, 	 384,	 0.51285,	 16.164, 	 134.108, 	 97.571, 	 10.147, 	 0.748, 	 10.895, 	3.030
6, 	 384,	 0.51285,	 16.497, 	 134.108, 	 97.571, 	 8.483, 	 0.844, 	 9.327, 	4.891
6, 	 384,	 0.51285,	 16.830, 	 134.108, 	 97.571, 	 6.825, 	 0.995, 	 7.820, 	6.854
6, 	 384,	 0.51285,	 17.164, 	 134.108, 	 97.571, 	 5.186, 	 1.138, 	 6.324, 	8.844
6, 	 384,	 0.51285,	 17.497, 	 134.108, 	 97.571, 	 3.603, 	 1.252, 	 4.855, 	10.842
6, 	 384,	 0.51285,	 17.830, 	 134.108, 	 97.571, 	 2.174, 	 1.540, 	 3.714, 	12.841
6, 	 384,	 0.51285,	 18.164, 	 134.108, 	 97.571, 	 1.075, 	 1.759, 	 2.834, 	14.841
6, 	 384,	 0.51285,	 18.497, 	 134.108, 	 97.571, 	 0.431, 	 1.945, 	 2.376, 	16.841
6, 	 384,	 0.51285,	 18.830, 	 134.108, 	 97.571, 	 0.150, 	 2.283, 	 2.433, 	18.841
6, 	 384,	 0.51285,	 19.164, 	 134.108, 	 97.571, 	 0.049, 	 2.463, 	 2.512, 	20.841
