m, 	 n, 	 a, 		 B, 		 Tb, 		 Mb, 		 COx, 		 POx, 		 TOx, 		 MOx
10, 	 384,	 0.51285,	 9.098, 	 134.108, 	 97.571, 	 9.556, 	 1.453, 	 11.009, 	0.153
10, 	 384,	 0.51285,	 9.298, 	 134.108, 	 97.571, 	 7.761, 	 1.627, 	 9.388, 	0.534
10, 	 384,	 0.51285,	 9.498, 	 134.108, 	 97.571, 	 5.977, 	 1.778, 	 7.755, 	1.481
10, 	 384,	 0.51285,	 9.698, 	 134.108, 	 97.571, 	 4.233, 	 2.033, 	 6.266, 	3.030
10, 	 384,	 0.51285,	 9.898, 	 134.108, 	 97.571, 	 2.612, 	 2.268, 	 4.880, 	4.891
10, 	 384,	 0.51285,	 10.098, 	 134.108, 	 97.571, 	 1.304, 	 2.455, 	 3.758, 	6.854
10, 	 384,	 0.51285,	 10.298, 	 134.108, 	 97.571, 	 0.508, 	 2.691, 	 3.198, 	8.844
10, 	 384,	 0.51285,	 10.498, 	 134.108, 	 97.571, 	 0.165, 	 2.876, 	 3.041, 	10.842
10, 	 384,	 0.51285,	 10.698, 	 134.108, 	 97.571, 	 0.049, 	 3.325, 	 3.375, 	12.841
10, 	 384,	 0.51285,	 10.898, 	 134.108, 	 97.571, 	 0.014, 	 3.668, 	 3.682, 	14.841
10, 	 384,	 0.51285,	 11.098, 	 134.108, 	 97.571, 	 0.004, 	 3.840, 	 3.845, 	16.841
10, 	 384,	 0.51285,	 11.298, 	 134.108, 	 97.571, 	 0.001, 	 4.415, 	 4.416, 	18.841

