m, 	 n, 	 a, 		 B, 		 Tb, 		 Mb, 		 COx, 		 POx, 		 TOx, 		 MOx, 		 Tt, 		 Mt
7, 	 384,	 0.50163,	 11.730, 	 135.307, 	 97.573, 	 12.887, 	 0.582, 	 13.469, 	 0.007, 	 148.776, 	 97.579
7, 	 384,	 0.50109,	 11.730, 	 135.398, 	 97.573, 	 12.489, 	 0.580, 	 13.070, 	 0.008, 	 148.468, 	 97.580
7, 	 384,	 0.50055,	 11.730, 	 135.490, 	 97.573, 	 12.091, 	 0.596, 	 12.687, 	 0.009, 	 148.178, 	 97.582
7, 	 384,	 0.50000,	 11.730, 	 135.584, 	 97.573, 	 11.693, 	 0.580, 	 12.273, 	 0.010, 	 147.857, 	 97.583
7, 	 384,	 0.49945,	 11.730, 	 135.678, 	 97.573, 	 11.293, 	 0.634, 	 11.927, 	 0.012, 	 147.605, 	 97.584
7, 	 384,	 0.49891,	 11.730, 	 135.773, 	 97.573, 	 10.894, 	 0.633, 	 11.526, 	 0.013, 	 147.299, 	 97.586
7, 	 384,	 0.49836,	 11.730, 	 135.869, 	 97.573, 	 10.494, 	 0.635, 	 11.129, 	 0.015, 	 146.998, 	 97.588
7, 	 384,	 0.49781,	 11.730, 	 135.965, 	 97.573, 	 10.094, 	 0.663, 	 10.757, 	 0.018, 	 146.722, 	 97.590
7, 	 384,	 0.49727,	 11.730, 	 136.062, 	 97.573, 	 9.694, 	 0.656, 	 10.350, 	 0.020, 	 146.411, 	 97.593
7, 	 384,	 0.49672,	 11.730, 	 136.159, 	 97.573, 	 9.294, 	 0.666, 	 9.960, 	 0.023, 	 146.119, 	 97.596
7, 	 384,	 0.49617,	 11.730, 	 136.257, 	 97.573, 	 8.894, 	 0.670, 	 9.564, 	 0.027, 	 145.820, 	 97.599
7, 	 384,	 0.49562,	 11.730, 	 136.355, 	 97.573, 	 8.494, 	 0.680, 	 9.175, 	 0.031, 	 145.529, 	 97.603
7, 	 384,	 0.49507,	 11.730, 	 136.453, 	 97.573, 	 8.095, 	 0.733, 	 8.828, 	 0.035, 	 145.281, 	 97.608
7, 	 384,	 0.49452,	 11.730, 	 136.552, 	 97.573, 	 7.696, 	 0.729, 	 8.426, 	 0.040, 	 144.977, 	 97.613
7, 	 384,	 0.49397,	 11.730, 	 136.650, 	 97.573, 	 7.298, 	 0.740, 	 8.038, 	 0.046, 	 144.688, 	 97.619
7, 	 384,	 0.49341,	 11.730, 	 136.749, 	 97.573, 	 6.901, 	 0.774, 	 7.675, 	 0.053, 	 144.424, 	 97.626
7, 	 384,	 0.49286,	 11.730, 	 136.848, 	 97.573, 	 6.505, 	 0.778, 	 7.284, 	 0.061, 	 144.132, 	 97.634
7, 	 384,	 0.49231,	 11.730, 	 136.948, 	 97.573, 	 6.110, 	 0.782, 	 6.893, 	 0.070, 	 143.840, 	 97.642
7, 	 384,	 0.49176,	 11.730, 	 137.047, 	 97.573, 	 5.718, 	 0.806, 	 6.524, 	 0.080, 	 143.571, 	 97.652
7, 	 384,	 0.49120,	 11.730, 	 137.147, 	 97.573, 	 5.327, 	 0.799, 	 6.126, 	 0.091, 	 143.273, 	 97.664
7, 	 384,	 0.49065,	 11.730, 	 137.247, 	 97.573, 	 4.939, 	 0.809, 	 5.748, 	 0.104, 	 142.995, 	 97.677
7, 	 384,	 0.49009,	 11.730, 	 137.346, 	 97.573, 	 4.555, 	 0.853, 	 5.408, 	 0.119, 	 142.755, 	 97.692
7, 	 384,	 0.48954,	 11.730, 	 137.446, 	 97.573, 	 4.176, 	 0.852, 	 5.028, 	 0.136, 	 142.474, 	 97.709
7, 	 384,	 0.48898,	 11.730, 	 137.546, 	 97.573, 	 3.803, 	 0.857, 	 4.660, 	 0.155, 	 142.207, 	 97.728
7, 	 384,	 0.48842,	 11.730, 	 137.646, 	 97.573, 	 3.438, 	 0.879, 	 4.317, 	 0.176, 	 141.963, 	 97.749
7, 	 384,	 0.48787,	 11.730, 	 137.746, 	 97.573, 	 3.082, 	 0.911, 	 3.993, 	 0.201, 	 141.740, 	 97.774
7, 	 384,	 0.48731,	 11.730, 	 137.846, 	 97.573, 	 2.738, 	 0.922, 	 3.660, 	 0.228, 	 141.506, 	 97.801
7, 	 384,	 0.48675,	 11.730, 	 137.947, 	 97.573, 	 2.408, 	 0.952, 	 3.359, 	 0.259, 	 141.306, 	 97.832
7, 	 384,	 0.48619,	 11.730, 	 138.047, 	 97.573, 	 2.094, 	 0.959, 	 3.053, 	 0.293, 	 141.100, 	 97.866
7, 	 384,	 0.48563,	 11.730, 	 138.147, 	 97.573, 	 1.801, 	 0.978, 	 2.779, 	 0.332, 	 140.926, 	 97.905
7, 	 384,	 0.48507,	 11.730, 	 138.247, 	 97.573, 	 1.530, 	 0.988, 	 2.518, 	 0.375, 	 140.765, 	 97.948
7, 	 384,	 0.48451,	 11.730, 	 138.348, 	 97.573, 	 1.284, 	 1.016, 	 2.301, 	 0.423, 	 140.648, 	 97.996
7, 	 384,	 0.48395,	 11.730, 	 138.448, 	 97.573, 	 1.064, 	 1.035, 	 2.099, 	 0.476, 	 140.547, 	 98.048
7, 	 384,	 0.48339,	 11.730, 	 138.548, 	 97.573, 	 0.872, 	 1.066, 	 1.938, 	 0.534, 	 140.487, 	 98.107
7, 	 384,	 0.48283,	 11.730, 	 138.649, 	 97.573, 	 0.706, 	 1.055, 	 1.761, 	 0.598, 	 140.409, 	 98.171
7, 	 384,	 0.48227,	 11.730, 	 138.749, 	 97.573, 	 0.566, 	 1.109, 	 1.675, 	 0.668, 	 140.424, 	 98.241
7, 	 384,	 0.48170,	 11.730, 	 138.850, 	 97.573, 	 0.449, 	 1.086, 	 1.536, 	 0.744, 	 140.385, 	 98.317
7, 	 384,	 0.48114,	 11.730, 	 138.950, 	 97.573, 	 0.354, 	 1.138, 	 1.492, 	 0.826, 	 140.442, 	 98.399
7, 	 384,	 0.48058,	 11.730, 	 139.050, 	 97.573, 	 0.277, 	 1.183, 	 1.460, 	 0.916, 	 140.511, 	 98.488

7, 	 384,	 0.50326,	 11.873, 	 135.041, 	 97.573, 	 13.216, 	 0.578, 	 13.794, 	 0.009, 	 148.835, 	 97.581
7, 	 384,	 0.50272,	 11.873, 	 135.128, 	 97.573, 	 12.822, 	 0.580, 	 13.402, 	 0.010, 	 148.530, 	 97.583
7, 	 384,	 0.50218,	 11.873, 	 135.217, 	 97.573, 	 12.426, 	 0.626, 	 13.052, 	 0.011, 	 148.269, 	 97.584
7, 	 384,	 0.50163,	 11.873, 	 135.307, 	 97.573, 	 12.030, 	 0.601, 	 12.631, 	 0.013, 	 147.938, 	 97.586
7, 	 384,	 0.50109,	 11.873, 	 135.398, 	 97.573, 	 11.633, 	 0.617, 	 12.249, 	 0.015, 	 147.647, 	 97.588
7, 	 384,	 0.50055,	 11.873, 	 135.490, 	 97.573, 	 11.234, 	 0.664, 	 11.898, 	 0.017, 	 147.389, 	 97.590
7, 	 384,	 0.50000,	 11.873, 	 135.584, 	 97.573, 	 10.836, 	 0.643, 	 11.479, 	 0.020, 	 147.063, 	 97.593
