m, 	 n, 	 a, 		 B, 		 Tb, 		 Mb, 		 COx, 		 POx, 		 TOx, 		 MOx, 		 Tt, 		 Mt
6, 	 384,	 0.50163,	 13.685, 	 135.307, 	 97.573, 	 14.882, 	 0.395, 	 15.278, 	 0.007, 	 150.584, 	 97.579
6, 	 384,	 0.50109,	 13.685, 	 135.398, 	 97.573, 	 14.485, 	 0.398, 	 14.883, 	 0.008, 	 150.281, 	 97.580
6, 	 384,	 0.50055,	 13.685, 	 135.490, 	 97.573, 	 14.087, 	 0.398, 	 14.485, 	 0.009, 	 149.975, 	 97.582
6, 	 384,	 0.50000,	 13.685, 	 135.584, 	 97.573, 	 13.688, 	 0.418, 	 14.106, 	 0.010, 	 149.690, 	 97.583
6, 	 384,	 0.49945,	 13.685, 	 135.678, 	 97.573, 	 13.288, 	 0.441, 	 13.729, 	 0.012, 	 149.407, 	 97.584
6, 	 384,	 0.49891,	 13.685, 	 135.773, 	 97.573, 	 12.889, 	 0.439, 	 13.327, 	 0.013, 	 149.101, 	 97.586
6, 	 384,	 0.49836,	 13.685, 	 135.869, 	 97.573, 	 12.489, 	 0.442, 	 12.930, 	 0.015, 	 148.799, 	 97.588
6, 	 384,	 0.49781,	 13.685, 	 135.965, 	 97.573, 	 12.089, 	 0.445, 	 12.533, 	 0.018, 	 148.499, 	 97.590
6, 	 384,	 0.49727,	 13.685, 	 136.062, 	 97.573, 	 11.688, 	 0.452, 	 12.140, 	 0.020, 	 148.202, 	 97.593
6, 	 384,	 0.49672,	 13.685, 	 136.159, 	 97.573, 	 11.288, 	 0.481, 	 11.769, 	 0.023, 	 147.928, 	 97.596
6, 	 384,	 0.49617,	 13.685, 	 136.257, 	 97.573, 	 10.887, 	 0.490, 	 11.378, 	 0.027, 	 147.634, 	 97.599
6, 	 384,	 0.49562,	 13.685, 	 136.355, 	 97.573, 	 10.487, 	 0.504, 	 10.991, 	 0.031, 	 147.346, 	 97.603
