m, 	 n, 	 a, 		 B, 		 Tb, 		 Mb, 		 COx, 		 POx, 		 TOx, 		 MOx, 		 Tt, 		 Mt
10, 	 384,	 0.50163,	 8.211, 	 135.307, 	 97.573, 	 9.884, 	 1.239, 	 11.123, 	 0.007, 	 146.430, 	 97.579
10, 	 384,	 0.50109,	 8.211, 	 135.398, 	 97.573, 	 9.487, 	 1.296, 	 10.783, 	 0.008, 	 146.181, 	 97.580
10, 	 384,	 0.50055,	 8.211, 	 135.490, 	 97.573, 	 9.089, 	 1.282, 	 10.371, 	 0.009, 	 145.862, 	 97.582
10, 	 384,	 0.50000,	 8.211, 	 135.584, 	 97.573, 	 8.691, 	 1.301, 	 9.993, 	 0.010, 	 145.576, 	 97.583
10, 	 384,	 0.49945,	 8.211, 	 135.678, 	 97.573, 	 8.293, 	 1.390, 	 9.683, 	 0.012, 	 145.361, 	 97.584
10, 	 384,	 0.49891,	 8.211, 	 135.773, 	 97.573, 	 7.895, 	 1.343, 	 9.237, 	 0.013, 	 145.010, 	 97.586
10, 	 384,	 0.49836,	 8.211, 	 135.869, 	 97.573, 	 7.497, 	 1.355, 	 8.852, 	 0.015, 	 144.721, 	 97.588
10, 	 384,	 0.49781,	 8.211, 	 135.965, 	 97.573, 	 7.099, 	 1.430, 	 8.529, 	 0.018, 	 144.494, 	 97.590
10, 	 384,	 0.49727,	 8.211, 	 136.062, 	 97.573, 	 6.702, 	 1.440, 	 8.141, 	 0.020, 	 144.203, 	 97.593
10, 	 384,	 0.49672,	 8.211, 	 136.159, 	 97.573, 	 6.306, 	 1.403, 	 7.709, 	 0.023, 	 143.868, 	 97.596
10, 	 384,	 0.49617,	 8.211, 	 136.257, 	 97.573, 	 5.911, 	 1.450, 	 7.360, 	 0.027, 	 143.617, 	 97.599
10, 	 384,	 0.49562,	 8.211, 	 136.355, 	 97.573, 	 5.518, 	 1.474, 	 6.992, 	 0.031, 	 143.347, 	 97.603
10, 	 384,	 0.49507,	 8.211, 	 136.453, 	 97.573, 	 5.127, 	 1.525, 	 6.652, 	 0.035, 	 143.105, 	 97.608
10, 	 384,	 0.49452,	 8.211, 	 136.552, 	 97.573, 	 4.740, 	 1.514, 	 6.254, 	 0.040, 	 142.806, 	 97.613
10, 	 384,	 0.49397,	 8.211, 	 136.650, 	 97.573, 	 4.357, 	 1.520, 	 5.877, 	 0.046, 	 142.527, 	 97.619
10, 	 384,	 0.49341,	 8.211, 	 136.749, 	 97.573, 	 3.979, 	 1.588, 	 5.568, 	 0.053, 	 142.317, 	 97.626
10, 	 384,	 0.49286,	 8.211, 	 136.848, 	 97.573, 	 3.608, 	 1.548, 	 5.156, 	 0.061, 	 142.005, 	 97.634
10, 	 384,	 0.49231,	 8.211, 	 136.948, 	 97.573, 	 3.246, 	 1.619, 	 4.865, 	 0.070, 	 141.812, 	 97.642
10, 	 384,	 0.49176,	 8.211, 	 137.047, 	 97.573, 	 2.894, 	 1.629, 	 4.523, 	 0.080, 	 141.570, 	 97.652
10, 	 384,	 0.49120,	 8.211, 	 137.147, 	 97.573, 	 2.555, 	 1.694, 	 4.249, 	 0.091, 	 141.396, 	 97.664
10, 	 384,	 0.49065,	 8.211, 	 137.247, 	 97.573, 	 2.232, 	 1.674, 	 3.906, 	 0.104, 	 141.153, 	 97.677
10, 	 384,	 0.49009,	 8.211, 	 137.346, 	 97.573, 	 1.928, 	 1.768, 	 3.696, 	 0.119, 	 141.043, 	 97.692
10, 	 384,	 0.48954,	 8.211, 	 137.446, 	 97.573, 	 1.646, 	 1.726, 	 3.371, 	 0.136, 	 140.817, 	 97.709
10, 	 384,	 0.48898,	 8.211, 	 137.546, 	 97.573, 	 1.387, 	 1.712, 	 3.099, 	 0.155, 	 140.645, 	 97.728
10, 	 384,	 0.48842,	 8.211, 	 137.646, 	 97.573, 	 1.154, 	 1.788, 	 2.943, 	 0.176, 	 140.589, 	 97.749
10, 	 384,	 0.48787,	 8.211, 	 137.746, 	 97.573, 	 0.949, 	 1.843, 	 2.792, 	 0.201, 	 140.538, 	 97.774
10, 	 384,	 0.48731,	 8.211, 	 137.846, 	 97.573, 	 0.771, 	 1.826, 	 2.597, 	 0.228, 	 140.443, 	 97.801
10, 	 384,	 0.48675,	 8.211, 	 137.947, 	 97.573, 	 0.620, 	 1.853, 	 2.473, 	 0.259, 	 140.419, 	 97.832
