m, 	 n, 	 a, 		 B, 		 Tb, 		 Mb, 		 COx, 		 POx, 		 TOx, 		 MOx, 		 Tt, 		 Mt
14, 	 384,	 0.50163,	 5.865, 	 135.307, 	 97.573, 	 7.707, 	 2.416, 	 10.122, 	 0.007, 	 145.429, 	 97.579
14, 	 384,	 0.50109,	 5.865, 	 135.398, 	 97.573, 	 7.312, 	 2.402, 	 9.714, 	 0.008, 	 145.112, 	 97.580
14, 	 384,	 0.50055,	 5.865, 	 135.490, 	 97.573, 	 6.916, 	 2.408, 	 9.324, 	 0.009, 	 144.814, 	 97.582
14, 	 384,	 0.50000,	 5.865, 	 135.584, 	 97.573, 	 6.521, 	 2.473, 	 8.995, 	 0.010, 	 144.578, 	 97.583
14, 	 384,	 0.49945,	 5.865, 	 135.678, 	 97.573, 	 6.127, 	 2.472, 	 8.599, 	 0.012, 	 144.277, 	 97.584
14, 	 384,	 0.49891,	 5.865, 	 135.773, 	 97.573, 	 5.734, 	 2.593, 	 8.326, 	 0.013, 	 144.100, 	 97.586
14, 	 384,	 0.49836,	 5.865, 	 135.869, 	 97.573, 	 5.342, 	 2.606, 	 7.949, 	 0.015, 	 143.817, 	 97.588
14, 	 384,	 0.49781,	 5.865, 	 135.965, 	 97.573, 	 4.953, 	 2.624, 	 7.578, 	 0.018, 	 143.543, 	 97.590
14, 	 384,	 0.49727,	 5.865, 	 136.062, 	 97.573, 	 4.568, 	 2.637, 	 7.204, 	 0.020, 	 143.266, 	 97.593
14, 	 384,	 0.49672,	 5.865, 	 136.159, 	 97.573, 	 4.186, 	 2.651, 	 6.837, 	 0.023, 	 142.996, 	 97.596
14, 	 384,	 0.49617,	 5.865, 	 136.257, 	 97.573, 	 3.811, 	 2.709, 	 6.520, 	 0.027, 	 142.776, 	 97.599
14, 	 384,	 0.49562,	 5.865, 	 136.355, 	 97.573, 	 3.443, 	 2.672, 	 6.115, 	 0.031, 	 142.470, 	 97.603
14, 	 384,	 0.49507,	 5.865, 	 136.453, 	 97.573, 	 3.084, 	 2.710, 	 5.795, 	 0.035, 	 142.248, 	 97.608
14, 	 384,	 0.49452,	 5.865, 	 136.552, 	 97.573, 	 2.737, 	 2.752, 	 5.489, 	 0.040, 	 142.041, 	 97.613
14, 	 384,	 0.49397,	 5.865, 	 136.650, 	 97.573, 	 2.404, 	 2.808, 	 5.213, 	 0.046, 	 141.863, 	 97.619
14, 	 384,	 0.49341,	 5.865, 	 136.749, 	 97.573, 	 2.089, 	 2.864, 	 4.953, 	 0.053, 	 141.702, 	 97.626
14, 	 384,	 0.49286,	 5.865, 	 136.848, 	 97.573, 	 1.793, 	 2.932, 	 4.725, 	 0.061, 	 141.573, 	 97.634
14, 	 384,	 0.49231,	 5.865, 	 136.948, 	 97.573, 	 1.521, 	 2.868, 	 4.389, 	 0.070, 	 141.337, 	 97.642
14, 	 384,	 0.49176,	 5.865, 	 137.047, 	 97.573, 	 1.273, 	 2.930, 	 4.203, 	 0.080, 	 141.251, 	 97.652
14, 	 384,	 0.49120,	 5.865, 	 137.147, 	 97.573, 	 1.053, 	 2.847, 	 3.900, 	 0.091, 	 141.047, 	 97.664
14, 	 384,	 0.49065,	 5.865, 	 137.247, 	 97.573, 	 0.860, 	 2.980, 	 3.840, 	 0.104, 	 141.087, 	 97.677
14, 	 384,	 0.49009,	 5.865, 	 137.346, 	 97.573, 	 0.694, 	 3.017, 	 3.711, 	 0.119, 	 141.057, 	 97.692

14, 	 384,	 0.50326,	 5.936, 	 135.041, 	 97.573, 	 7.963, 	 2.360, 	 10.323, 	 0.009, 	 145.365, 	 97.581
14, 	 384,	 0.50272,	 5.936, 	 135.128, 	 97.573, 	 7.571, 	 2.433, 	 10.004, 	 0.010, 	 145.133, 	 97.583
14, 	 384,	 0.50218,	 5.936, 	 135.217, 	 97.573, 	 7.178, 	 2.466, 	 9.644, 	 0.011, 	 144.861, 	 97.584
14, 	 384,	 0.50163,	 5.936, 	 135.307, 	 97.573, 	 6.785, 	 2.559, 	 9.344, 	 0.013, 	 144.650, 	 97.586
14, 	 384,	 0.50109,	 5.936, 	 135.398, 	 97.573, 	 6.391, 	 2.522, 	 8.913, 	 0.015, 	 144.312, 	 97.588
14, 	 384,	 0.50055,	 5.936, 	 135.490, 	 97.573, 	 5.998, 	 2.594, 	 8.593, 	 0.017, 	 144.083, 	 97.590
14, 	 384,	 0.50000,	 5.936, 	 135.584, 	 97.573, 	 5.607, 	 2.628, 	 8.234, 	 0.020, 	 143.818, 	 97.593
