m, 	 n, 	 a, 		 B, 		 Tb, 		 Mb, 		 COx, 		 POx, 		 TOx, 		 MOx
14, 	 384,	 0.51285,	 6.499, 	 134.108, 	 97.571, 	 7.129, 	 2.650, 	 9.779, 	0.153
14, 	 384,	 0.51285,	 6.642, 	 134.108, 	 97.571, 	 5.298, 	 3.007, 	 8.305, 	0.534
14, 	 384,	 0.51285,	 6.784, 	 134.108, 	 97.571, 	 3.534, 	 3.214, 	 6.749, 	1.481
14, 	 384,	 0.51285,	 6.927, 	 134.108, 	 97.571, 	 1.971, 	 3.503, 	 5.475, 	3.030
14, 	 384,	 0.51285,	 7.070, 	 134.108, 	 97.571, 	 0.853, 	 3.849, 	 4.703, 	4.891
14, 	 384,	 0.51285,	 7.213, 	 134.108, 	 97.571, 	 0.290, 	 4.088, 	 4.378, 	6.854
14, 	 384,	 0.51285,	 7.356, 	 134.108, 	 97.571, 	 0.086, 	 4.562, 	 4.648, 	8.844
14, 	 384,	 0.51285,	 7.499, 	 134.108, 	 97.571, 	 0.024, 	 4.932, 	 4.956, 	10.842
14, 	 384,	 0.51285,	 7.642, 	 134.108, 	 97.571, 	 0.007, 	 5.149, 	 5.155, 	12.841
