m, 	 n, 	 a, 		 B, 		 Tb, 		 Mb, 		 COx, 		 POx, 		 TOx, 		 MOx, 		 Tt, 		 Mt
12, 	 384,	 0.49617,	 6.926, 	 136.257, 	 97.573, 	 3.960, 	 2.102, 	 6.062, 	 0.053, 	 142.319, 	 97.626
12, 	 384,	 0.49562,	 6.926, 	 136.355, 	 97.573, 	 3.589, 	 2.167, 	 5.756, 	 0.061, 	 142.111, 	 97.633
12, 	 384,	 0.49507,	 6.926, 	 136.453, 	 97.573, 	 3.226, 	 2.149, 	 5.375, 	 0.069, 	 141.828, 	 97.642
12, 	 384,	 0.49452,	 6.926, 	 136.552, 	 97.573, 	 2.875, 	 2.244, 	 5.119, 	 0.080, 	 141.670, 	 97.652
12, 	 384,	 0.49397,	 6.926, 	 136.650, 	 97.573, 	 2.536, 	 2.224, 	 4.760, 	 0.091, 	 141.410, 	 97.664
12, 	 384,	 0.49341,	 6.926, 	 136.749, 	 97.573, 	 2.213, 	 2.301, 	 4.515, 	 0.104, 	 141.264, 	 97.677
12, 	 384,	 0.49286,	 6.926, 	 136.848, 	 97.573, 	 1.909, 	 2.339, 	 4.248, 	 0.119, 	 141.096, 	 97.692
12, 	 384,	 0.49231,	 6.926, 	 136.948, 	 97.573, 	 1.627, 	 2.367, 	 3.994, 	 0.136, 	 140.942, 	 97.709
12, 	 384,	 0.49176,	 6.926, 	 137.047, 	 97.573, 	 1.370, 	 2.358, 	 3.727, 	 0.155, 	 140.774, 	 97.728
12, 	 384,	 0.49120,	 6.926, 	 137.147, 	 97.573, 	 1.138, 	 2.453, 	 3.592, 	 0.177, 	 140.738, 	 97.750
12, 	 384,	 0.49065,	 6.926, 	 137.247, 	 97.573, 	 0.934, 	 2.514, 	 3.448, 	 0.201, 	 140.695, 	 97.774
12, 	 384,	 0.49009,	 6.926, 	 137.346, 	 97.573, 	 0.758, 	 2.477, 	 3.235, 	 0.229, 	 140.581, 	 97.802
12, 	 384,	 0.48954,	 6.926, 	 137.446, 	 97.573, 	 0.608, 	 2.531, 	 3.139, 	 0.260, 	 140.586, 	 97.833
12, 	 384,	 0.48898,	 6.926, 	 137.546, 	 97.573, 	 0.483, 	 2.568, 	 3.051, 	 0.295, 	 140.597, 	 97.868

12, 	 384,	 0.49286,	 7.009, 	 136.848, 	 97.573, 	 1.299, 	 2.359, 	 3.658, 	 0.229, 	 140.506, 	 97.802
12, 	 384,	 0.49231,	 7.009, 	 136.948, 	 97.573, 	 1.075, 	 2.491, 	 3.566, 	 0.260, 	 140.514, 	 97.833
12, 	 384,	 0.49176,	 7.009, 	 137.047, 	 97.573, 	 0.879, 	 2.455, 	 3.334, 	 0.295, 	 140.382, 	 97.868
12, 	 384,	 0.49120,	 7.009, 	 137.147, 	 97.573, 	 0.710, 	 2.472, 	 3.182, 	 0.334, 	 140.329, 	 97.907
