m, 	 n, 	 a, 		 B, 		 Tb, 		 Mb, 		 COx, 		 POx, 		 TOx, 		 MOx
8, 	 384,	 0.51285,	 11.373, 	 134.108, 	 97.571, 	 11.507, 	 0.927, 	 12.435, 	0.153
8, 	 384,	 0.51285,	 11.623, 	 134.108, 	 97.571, 	 9.758, 	 1.026, 	 10.785, 	0.534
8, 	 384,	 0.51285,	 11.873, 	 134.108, 	 97.571, 	 8.012, 	 1.166, 	 9.178, 	1.481
8, 	 384,	 0.51285,	 12.123, 	 134.108, 	 97.571, 	 6.276, 	 1.329, 	 7.605, 	3.030
8, 	 384,	 0.51285,	 12.373, 	 134.108, 	 97.571, 	 4.569, 	 1.471, 	 6.040, 	4.891
8, 	 384,	 0.51285,	 12.623, 	 134.108, 	 97.571, 	 2.956, 	 1.696, 	 4.652, 	6.854
8, 	 384,	 0.51285,	 12.873, 	 134.108, 	 97.571, 	 1.589, 	 1.831, 	 3.420, 	8.844
8, 	 384,	 0.51285,	 13.123, 	 134.108, 	 97.571, 	 0.676, 	 2.115, 	 2.790, 	10.842
8, 	 384,	 0.51285,	 13.373, 	 134.108, 	 97.571, 	 0.236, 	 2.381, 	 2.616, 	12.841
8, 	 384,	 0.51285,	 13.623, 	 134.108, 	 97.571, 	 0.074, 	 2.652, 	 2.726, 	14.841
8, 	 384,	 0.51285,	 13.873, 	 134.108, 	 97.571, 	 0.022, 	 3.015, 	 3.038, 	16.841
8, 	 384,	 0.51285,	 14.123, 	 134.108, 	 97.571, 	 0.007, 	 3.236, 	 3.242, 	18.841
8, 	 384,	 0.51285,	 14.373, 	 134.108, 	 97.571, 	 0.002, 	 3.740, 	 3.742, 	20.841

